Category,Rating,Reviews,Installs,Type,Content Rating,Genres,Android Ver,Price in Dollars,Size(in MBs),Days Since Last Update,Update Freshness
BUSINESS,4.4,2287,1000000,Free,Everyone,Business,2.2,0.0,1.5,135,Moderately Updated
BUSINESS,3.8,14760,50000000,Free,Everyone,Business,7.0,0.0,8.6,189,Moderately Updated
BUSINESS,Unrated,9,100000,Free,Everyone,Business,6.0,0.0,1.2,121,Moderately Updated
BUSINESS,4.7,286897,10000000,Free,Everyone,Business,3.0,0.0,39.0,435,Outdated
BUSINESS,4.5,103755,10000000,Free,Everyone,Business,4.1,0.0,14.0,28,Recently Updated
BUSINESS,4.2,46505,1000000,Free,Everyone,Business,4.1,0.0,19.0,6,Recently Updated
BUSINESS,4.7,11442,100000,Paid,Everyone,Business,4.0,4.99,6.8,136,Moderately Updated
BUSINESS,4.8,10295,100000,Paid,Everyone,Business,3.0,4.99,39.0,484,Outdated
BUSINESS,4.2,296,50000,Free,Everyone,Business,4.1,0.0,14.0,54,Recently Updated
BUSINESS,4.1,1802,100000,Free,Everyone,Business,4.2,0.0,26.0,112,Moderately Updated
BUSINESS,3.8,1383,100000,Free,Everyone,Business,5.0,0.0,51.0,27,Recently Updated
BUSINESS,4.3,23175,1000000,Free,Everyone,Business,4.1,0.0,41.0,26,Recently Updated
BUSINESS,3.8,5868,500000,Free,Everyone,Business,4.1,0.0,20.0,36,Recently Updated
BUSINESS,4.1,5448,500000,Free,Everyone,Business,5.0,0.0,12.0,14,Recently Updated
BUSINESS,4.3,20815,1000000,Free,Everyone,Business,5.0,0.0,10.0,13,Recently Updated
BUSINESS,4.5,78662,1000000,Free,Everyone,Business,4.4,0.0,22.0,176,Moderately Updated
BUSINESS,4.1,7149,1000000,Free,Everyone,Business,4.0,0.0,11.0,8,Recently Updated
BUSINESS,4.5,3079,100000,Free,Everyone,Business,4.1,0.0,8.5,6,Recently Updated
BUSINESS,4.6,5800,100000,Free,Everyone,Business,4.1,0.0,8.6,6,Recently Updated
BUSINESS,4.2,16422,1000000,Free,Everyone,Business,4.1,0.0,28.0,7,Recently Updated
BUSINESS,4.4,108741,10000000,Free,Everyone,Business,4.3,0.0,28.0,19,Recently Updated
BUSINESS,4.0,624,100000,Free,Everyone,Business,5.0,0.0,9.0,139,Moderately Updated
BUSINESS,4.2,1661,100000,Free,Everyone,Business,4.4,0.0,46.0,6,Recently Updated
BUSINESS,3.8,5211,1000000,Free,Everyone,Business,4.0,0.0,26.0,9,Recently Updated
BUSINESS,3.9,1058,500000,Free,Everyone,Business,5.0,0.0,23.0,40,Recently Updated
BUSINESS,4.3,1002859,100000000,Free,Everyone,Business,4.1,0.0,35.0,6,Recently Updated
BUSINESS,4.5,413,10000,Free,Everyone,Business,5.0,0.0,29.0,14,Recently Updated
COMICS,4.6,24005,500000,Free,Adults only 18+,Comics,4.1,0.0,4.9,35,Recently Updated
COMICS,4.7,57106,1000000,Free,Teen,Comics,4.1,0.0,27.0,16,Recently Updated
COMICS,4.8,516,50000,Free,Everyone,Comics;Creativity,4.4,0.0,12.0,5,Recently Updated
COMICS,3.9,834,50000,Free,Mature 17+,Comics,4.1,0.0,15.0,7,Recently Updated
COMICS,4.1,1010,50000,Free,Mature 17+,Comics,4.1,0.0,11.0,32,Recently Updated
COMICS,4.4,238970,1000000,Free,Teen,Comics,5.0,0.0,28.0,30,Recently Updated
COMICS,4.6,302,10000,Free,Teen,Comics,4.0,0.0,2.2,36,Recently Updated
COMICS,4.5,438,10000,Free,Everyone,Comics,2.3,0.0,3.4,224,Moderately Updated
COMICS,4.4,39,10000,Free,Everyone 10+,Comics,4.2,0.0,4.3,36,Recently Updated
COMICS,4.5,314,100000,Free,Everyone,Comics,4.1,0.0,6.1,77,Recently Updated
COMICS,4.2,15194,1000000,Free,Teen,Comics,4.2,0.0,15.0,20,Recently Updated
COMICS,3.7,22551,1000000,Free,Teen,Comics,4.4,0.0,11.0,15,Recently Updated
COMICS,4.5,29839,1000000,Free,Teen,Comics,4.4,0.0,29.0,8,Recently Updated
COMICS,4.6,279,100000,Free,Everyone,Comics,4.0,0.0,3.3,233,Moderately Updated
COMICS,Unrated,1330,50000,Free,Everyone,Comics,4.2,0.0,22.0,36,Recently Updated
COMICS,4.7,1677,100000,Free,Everyone,Comics,4.1,0.0,40.0,74,Recently Updated
COMICS,4.4,757,10000,Free,Teen,Comics,4.1,0.0,10.0,76,Recently Updated
COMICS,3.5,115,10000,Free,Mature 17+,Comics,5.0,0.0,9.1,26,Recently Updated
COMICS,4.5,9952,500000,Free,Everyone 10+,Comics,4.1,0.0,38.0,8,Recently Updated
COMICS,4.2,21,5000,Free,Everyone,Comics,4.0,0.0,6.7,130,Moderately Updated
COMICS,4.4,5968,1000000,Free,Everyone,Comics,4.0,0.0,5.7,72,Recently Updated
COMICS,4.6,4895,100000,Free,Everyone,Comics,4.4,0.0,35.0,6,Recently Updated
COMMUNICATION,4.3,125257,10000000,Free,Teen,Communication,4.1,0.0,17.0,63,Recently Updated
COMMUNICATION,4.3,158679,5000000,Free,Everyone,Communication,4.4,0.0,8.8,5,Recently Updated
COMMUNICATION,4.3,4187998,100000000,Free,Everyone,Communication,4.4,0.0,16.0,21,Recently Updated
COMMUNICATION,4.3,659395,100000000,Free,Everyone,Communication,4.0,0.0,11.0,62,Recently Updated
COMMUNICATION,4.3,4785892,500000000,Free,Everyone,Communication,4.0,0.0,11.0,61,Recently Updated
COMMUNICATION,4.3,30209,5000000,Free,Everyone,Communication,4.1,0.0,15.0,11,Recently Updated
COMMUNICATION,3.9,13698,10000000,Free,Everyone,Communication,4.1,0.0,5.1,37,Recently Updated
COMMUNICATION,3.6,20769,1000000,Free,Everyone,Communication,4.1,0.0,18.0,28,Recently Updated
COMMUNICATION,4.4,36880,1000000,Free,Everyone,Communication,5.0,0.0,4.0,33,Recently Updated
COMMUNICATION,4.4,3648120,100000000,Free,Teen,Communication,4.0,0.0,3.3,21,Recently Updated
COMMUNICATION,3.9,42370,1000000,Free,Everyone,Communication,5.0,0.0,37.0,44,Recently Updated
COMMUNICATION,4.4,2939,100000,Free,Everyone,Communication,4.1,0.0,17.0,23,Recently Updated
COMMUNICATION,4.5,17712922,500000000,Free,Teen,Communication,4.0,0.0,40.0,6,Recently Updated
COMMUNICATION,3.7,25021,5000000,Free,Everyone,Communication,4.3,0.0,61.0,43,Recently Updated
COMMUNICATION,4.3,27187,5000000,Free,Everyone,Communication,4.4,0.0,66.0,11,Recently Updated
COMMUNICATION,4.3,4785988,500000000,Free,Everyone,Communication,4.0,0.0,11.0,61,Recently Updated
COMMUNICATION,4.1,132014,10000000,Free,Everyone,Communication,4.2,0.0,25.0,21,Recently Updated
COMMUNICATION,4.2,83239,5000000,Free,Everyone,Communication,4.0,0.0,14.0,111,Moderately Updated
COMMUNICATION,4.4,2876500,100000000,Free,Everyone,Communication,4.0,0.0,24.0,7,Recently Updated
COMMUNICATION,4.1,28238,1000000,Free,Everyone,Communication,2.3,0.0,17.0,6,Recently Updated
COMMUNICATION,4.3,335646,10000000,Free,Everyone,Communication,2.3,0.0,8.3,13,Recently Updated
COMMUNICATION,4.4,36893,1000000,Free,Everyone,Communication,5.0,0.0,4.0,33,Recently Updated
COMMUNICATION,4.2,15880,1000000,Free,Everyone,Communication,4.0,0.0,32.0,5,Recently Updated
COMMUNICATION,4.6,2264916,50000000,Free,Everyone,Communication,4.0,0.0,6.1,8,Recently Updated
COMMUNICATION,4.2,42925,1000000,Free,Everyone,Communication,2.3,0.0,2.8,346,Moderately Updated
COMMUNICATION,4.4,3648480,100000000,Free,Teen,Communication,4.0,0.0,3.3,21,Recently Updated
COMMUNICATION,4.5,17714850,500000000,Free,Teen,Communication,4.0,0.0,40.0,6,Recently Updated
COMMUNICATION,4.1,55098,1000000,Free,Everyone,Communication,4.0,0.0,4.3,49,Recently Updated
COMMUNICATION,4.3,1133501,10000000,Free,Everyone,Communication,4.0,0.0,4.7,859,Outdated
COMMUNICATION,4.1,12578,500000,Free,Everyone,Communication,4.0,0.0,2.3,394,Outdated
COMMUNICATION,4.2,10965,500000,Free,Everyone,Communication,3.0,0.0,2.3,1283,Outdated
COMMUNICATION,4.2,125232,10000000,Free,Everyone,Communication,2.1,0.0,2.7,521,Outdated
COMMUNICATION,4.3,72065,1000000,Free,Everyone,Communication,4.0,0.0,13.0,112,Moderately Updated
COMMUNICATION,4.4,27540,1000000,Free,Everyone,Communication,4.0,0.0,3.7,215,Moderately Updated
COMMUNICATION,4.4,177703,10000000,Free,Mature 17+,Communication,5.0,0.0,13.0,14,Recently Updated
COMMUNICATION,4.2,177263,10000000,Free,Mature 17+,Communication,5.0,0.0,13.0,26,Recently Updated
COMMUNICATION,4.8,237468,1000000,Free,Everyone,Communication,4.0,0.0,8.8,13,Recently Updated
COMMUNICATION,4.4,32254,1000000,Free,Everyone,Communication,2.1,0.0,5.5,247,Moderately Updated
COMMUNICATION,4.4,483565,10000000,Free,Everyone,Communication,4.1,0.0,20.0,10,Recently Updated
COMMUNICATION,4.4,552441,10000000,Free,Everyone,Communication,4.1,0.0,29.0,7,Recently Updated
COMMUNICATION,4.4,93825,5000000,Free,Everyone,Communication,4.1,0.0,11.0,34,Recently Updated
COMMUNICATION,4.5,205739,5000000,Free,Everyone,Communication,4.1,0.0,17.0,13,Recently Updated
COMMUNICATION,4.0,9498,1000000,Free,Everyone,Communication,2.3,0.0,0.12,792,Outdated
COMMUNICATION,4.3,4188142,100000000,Free,Everyone,Communication,4.4,0.0,16.0,21,Recently Updated
COMMUNICATION,4.6,183374,1000000,Free,Everyone,Communication,4.1,0.0,44.0,7,Recently Updated
COMMUNICATION,4.1,20901,1000000,Free,Everyone,Communication,4.1,0.0,7.3,127,Moderately Updated
COMMUNICATION,4.0,122595,1000000,Free,Everyone,Communication,5.0,0.0,30.0,20,Recently Updated
COMMUNICATION,4.2,124346,10000000,Free,Everyone,Communication,2.0,0.0,0.68,1494,Outdated
COMMUNICATION,4.1,255,10000,Free,Everyone,Communication,2.2,0.0,1.6,484,Outdated
COMMUNICATION,4.3,41420,5000000,Free,Everyone,Communication,4.0,0.0,19.0,48,Recently Updated
DATING,2.6,57,1000,Paid,Everyone,Dating,4.0,6.99,6.2,287,Moderately Updated
DATING,Unrated,0,50,Paid,Teen,Dating,4.0,1.49,20.0,341,Moderately Updated
DATING,Unrated,0,100,Paid,Everyone,Dating,4.0,2.99,0.02,379,Outdated
DATING,3.5,2,100,Paid,Mature 17+,Dating,4.0,7.99,17.0,564,Outdated
DATING,4.1,285726,10000000,Free,Mature 17+,Dating,4.1,0.0,15.0,9,Recently Updated
DATING,4.1,2556,100000,Free,Mature 17+,Dating,4.1,0.0,56.0,7,Recently Updated
DATING,4.2,7779,500000,Free,Mature 17+,Dating,5.0,0.0,12.0,5,Recently Updated
DATING,4.5,61637,5000000,Free,Mature 17+,Dating,4.1,0.0,11.0,8,Recently Updated
DATING,4.4,12632,1000000,Free,Mature 17+,Dating,4.1,0.0,29.0,12,Recently Updated
DATING,4.0,48845,1000000,Free,Mature 17+,Dating,4.4,0.0,40.0,7,Recently Updated
DATING,3.1,31320,5000000,Free,Mature 17+,Dating,4.1,0.0,53.0,9,Recently Updated
DATING,4.4,172460,5000000,Free,Mature 17+,Dating,4.0,0.0,3.1,4,Recently Updated
DATING,4.2,4195,100000,Free,Mature 17+,Dating,4.4,0.0,24.0,14,Recently Updated
DATING,4.1,11633,500000,Free,Mature 17+,Dating,4.1,0.0,23.0,15,Recently Updated
DATING,3.9,10212,1000000,Free,Mature 17+,Dating,4.4,0.0,5.0,14,Recently Updated
DATING,4.3,37053,1000000,Free,Mature 17+,Dating,4.1,0.0,44.0,5,Recently Updated
DATING,4.4,667,10000,Free,Mature 17+,Dating,4.1,0.0,27.0,5,Recently Updated
DATING,3.5,13202,1000000,Free,Mature 17+,Dating,4.1,0.0,6.1,32,Recently Updated
DATING,3.3,1157,100000,Free,Mature 17+,Dating,4.2,0.0,21.0,558,Outdated
DATING,4.5,212626,10000000,Free,Mature 17+,Dating,4.1,0.0,11.0,8,Recently Updated
DATING,4.4,222888,1000000,Free,Mature 17+,Dating,4.1,0.0,21.0,22,Recently Updated
DATING,4.1,2067,100000,Free,Mature 17+,Dating,4.4,0.0,24.0,14,Recently Updated
DATING,3.9,1643,500000,Free,Mature 17+,Dating,4.1,0.0,31.0,36,Recently Updated
DATING,3.9,105,5000,Free,Mature 17+,Dating,4.4,0.0,27.0,50,Recently Updated
DATING,3.6,3414,500000,Free,Mature 17+,Dating,4.1,0.0,6.2,63,Recently Updated
